Animal ID,Name,DateTime,MonthYear,Date of Birth,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Outcome
A717349,*Nell,01/23/2016 05:52:00 PM,01/23/2016 05:52:00 PM,12/06/2003,Dog,Spayed Female,12 years,Labrador Retriever Mix,Black,0
A712388,*Phoenix,10/01/2015 11:49:00 AM,10/01/2015 11:49:00 AM,08/07/2015,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,0
A708517,*Trudy,09/07/2015 11:12:00 AM,09/07/2015 11:12:00 AM,07/28/2013,Dog,Spayed Female,2 years,Labrador Retriever/Whippet,Yellow,0
A783280,Bella,12/18/2018 11:21:00 AM,12/18/2018 11:21:00 AM,10/30/2015,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White,0
A712792,*Austin,11/30/2015 04:42:00 PM,11/30/2015 04:42:00 PM,08/18/2015,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,0
A707557,Cairo,07/25/2015 04:06:00 PM,07/25/2015 04:06:00 PM,07/14/2012,Dog,Intact Male,3 years,Pit Bull Mix,Brown,0
A704506,Marshall,06/28/2015 12:32:00 PM,06/28/2015 12:32:00 PM,12/08/2011,Dog,Neutered Male,3 years,Border Collie Mix,White/Black,0
A686738,*Ace,10/19/2014 01:04:00 PM,10/19/2014 01:04:00 PM,03/26/2014,Dog,Neutered Male,6 months,Catahoula/Boxer,Brown/White,0
A803357,Bonnie,11/25/2019 04:20:00 PM,11/25/2019 04:20:00 PM,07/30/2019,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,0
A796738,*Schmidt,07/19/2019 11:54:00 AM,07/19/2019 11:54:00 AM,05/04/2019,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,0
A746425,Dixie,02/28/2018 07:59:00 PM,02/28/2018 07:59:00 PM,11/03/2016,Dog,Spayed Female,1 year,Plott Hound Mix,Brown Brindle/White,0
A793299,Champ,04/30/2019 06:27:00 PM,04/30/2019 06:27:00 PM,04/23/2018,Dog,Neutered Male,1 year,Cairn Terrier Mix,Tricolor,0
A692174,*Hannah,12/12/2014 04:59:00 PM,12/12/2014 04:59:00 PM,10/08/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0
A825339,Hawkeye,11/14/2020 12:49:00 PM,11/14/2020 12:49:00 PM,08/26/2020,Cat,Neutered Male,2 months,Domestic Shorthair,Cream Tabby,0
A838472,Opal,08/06/2021 06:18:00 PM,08/06/2021 06:18:00 PM,03/08/2021,Cat,Spayed Female,4 months,Domestic Shorthair,Calico,0
A750330,Angel Jack,10/11/2017 01:23:00 PM,10/11/2017 01:23:00 PM,05/25/2015,Dog,Neutered Male,2 years,Pit Bull Mix,Fawn,0
A810732,Blackie,01/12/2020 04:42:00 PM,01/12/2020 04:42:00 PM,12/18/2016,Dog,Neutered Male,3 years,Miniature Schnauzer Mix,Black/Tan,0
A688052,,09/14/2014 09:00:00 AM,09/14/2014 09:00:00 AM,05/13/2014,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby,0
A674280,Moon,03/12/2014 06:49:00 PM,03/12/2014 06:49:00 PM,03/10/2013,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,White/Blue,0
A784472,*Fleur,11/19/2018 05:06:00 PM,11/19/2018 05:06:00 PM,11/15/2012,Dog,Spayed Female,6 years,Great Dane Mix,Black/White,0
A712518,Zoe,03/17/2016 03:49:00 PM,03/17/2016 03:49:00 PM,08/18/2015,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black,0
A723119,,03/27/2016 11:43:00 AM,03/27/2016 11:43:00 AM,03/27/2014,Dog,Neutered Male,2 years,Catahoula Mix,Blue Merle,0
A779354,Coco,09/01/2018 12:55:00 PM,09/01/2018 12:55:00 PM,08/30/2015,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tricolor,0
A842555,Garfield,09/30/2021 11:32:00 AM,09/30/2021 11:32:00 AM,09/17/2015,Cat,Neutered Male,6 years,Domestic Shorthair,Orange Tabby,0
A688198,*Deacon,10/10/2014 04:40:00 PM,10/10/2014 04:40:00 PM,09/16/2012,Dog,Neutered Male,2 years,Labrador Retriever/Jack Russell Terrier,Black,0
A666507,,12/11/2013 12:50:00 PM,12/11/2013 12:50:00 PM,10/11/2013,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Cream,0
A725983,Brandi,05/09/2016 05:05:00 PM,05/09/2016 05:05:00 PM,02/19/2016,Dog,Spayed Female,2 months,Plott Hound Mix,White/Brown Brindle,0
A725645,*Boko,07/09/2016 07:08:00 PM,07/09/2016 07:08:00 PM,03/12/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,0
A678358,,05/08/2014 01:58:00 PM,05/08/2014 01:58:00 PM,05/07/2013,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,0
A659152,Big Worm,05/19/2014 05:36:00 PM,05/19/2014 05:36:00 PM,07/20/2008,Dog,Neutered Male,5 years,Bulldog Mix,Red,0
A795439,,06/19/2019 12:46:00 PM,06/19/2019 12:46:00 PM,04/17/2019,Cat,Spayed Female,2 months,Domestic Medium Hair,Black,0
A687576,,09/06/2014 07:12:00 PM,09/06/2014 07:12:00 PM,08/06/2014,Other,Unknown,4 weeks,Bat,Brown/Black,1
A765911,Puddles,02/02/2019 06:57:00 PM,02/02/2019 06:57:00 PM,01/29/2016,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan/White,0
A727294,Smokey,05/23/2016 04:48:00 PM,05/23/2016 04:48:00 PM,05/20/2013,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White,0
A703412,Sophia,06/09/2015 01:42:00 PM,06/09/2015 01:42:00 PM,05/24/2012,Dog,Spayed Female,3 years,German Wirehaired Pointer Mix,Black/White,0
A748121,Finn,05/03/2017 06:03:00 PM,05/03/2017 06:03:00 PM,01/29/2017,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black/White,0
A664230,Arya,10/07/2013 01:13:00 PM,10/07/2013 01:13:00 PM,04/30/2012,Dog,Spayed Female,1 year,Whippet Mix,Black,0
A743491,Ella,02/11/2017 05:06:00 PM,02/11/2017 05:06:00 PM,02/11/2015,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White,0
A834866,*Lilly,05/26/2021 06:06:00 PM,05/26/2021 06:06:00 PM,02/25/2021,Dog,Spayed Female,2 months,Boxer Mix,Black/Tricolor,0
A790502,,03/11/2019 06:19:00 PM,03/11/2019 06:19:00 PM,03/11/2016,Other,Unknown,3 years,Bat Mix,Brown,1
A794494,Zoey,05/14/2019 04:27:00 PM,05/14/2019 04:27:00 PM,06/14/2018,Dog,Spayed Female,10 months,Wire Hair Fox Terrier Mix,White/Black,0
A678481,,05/09/2014 03:28:00 PM,05/09/2014 03:28:00 PM,05/02/2014,Cat,Intact Male,1 week,Domestic Shorthair Mix,Black,0
A671263,Ein,01/22/2014 11:58:00 AM,01/22/2014 11:58:00 AM,01/21/2013,Dog,Intact Male,1 year,Pembroke Welsh Corgi,Tricolor,0
A771426,Uzi,05/08/2018 06:39:00 PM,05/08/2018 06:39:00 PM,05/04/2017,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor/Black,0
A757045,*Clarence,09/02/2017 01:40:00 PM,09/02/2017 01:40:00 PM,06/14/2017,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,0
A716979,*Mirinda,12/20/2015 12:00:00 AM,12/20/2015 12:00:00 AM,09/08/2015,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,0
A794423,Blanca,05/15/2019 06:43:00 PM,05/15/2019 06:43:00 PM,05/08/2018,Dog,Spayed Female,1 year,Pit Bull,White,0
A664503,,10/10/2013 06:17:00 PM,10/10/2013 06:17:00 PM,07/20/2013,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A826858,Charlie,12/18/2020 10:21:00 AM,12/18/2020 10:21:00 AM,07/08/2020,Dog,Intact Male,5 months,Tibetan Spaniel/Chihuahua Longhair,Black/White,0
A748523,*Ralph,05/25/2017 06:43:00 PM,05/25/2017 06:43:00 PM,05/03/2016,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,0
A590290,Oreo,08/27/2014 12:09:00 PM,08/27/2014 12:09:00 PM,09/23/2010,Dog,Neutered Male,3 years,Border Terrier Mix,White/Black,0
A701763,*Sammy,05/11/2015 05:08:00 PM,05/11/2015 05:08:00 PM,11/04/2013,Dog,Spayed Female,1 year,Cairn Terrier Mix,White/Tan,0
A812025,Bruce,01/14/2020 06:58:00 PM,01/14/2020 06:58:00 PM,04/10/2013,Cat,Neutered Male,6 years,Domestic Shorthair,Black/White,0
A762762,Salsa,11/28/2017 11:03:00 AM,11/28/2017 11:03:00 AM,11/26/2004,Cat,Intact Male,13 years,Domestic Shorthair Mix,Brown Tabby,1
A839338,*Flossie,07/27/2021 06:16:00 PM,07/27/2021 06:16:00 PM,05/20/2021,Cat,Spayed Female,2 months,Domestic Shorthair,Gray Tabby,0
A666542,Bones,09/13/2016 05:03:00 PM,09/13/2016 05:03:00 PM,11/03/2011,Dog,Neutered Male,4 years,American Staffordshire Terrier/Pit Bull,Fawn/White,0
A669845,Smokey,10/02/2018 04:34:00 PM,10/02/2018 04:34:00 PM,12/28/2011,Dog,Neutered Male,6 years,Pit Bull Mix,Blue/White,0
A666058,Robin Hood,11/03/2013 06:13:00 PM,11/03/2013 06:13:00 PM,08/11/2013,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,0
A704421,Abel,03/19/2016 05:17:00 PM,03/19/2016 05:17:00 PM,06/04/2011,Dog,Neutered Male,4 years,Pit Bull Mix,Brown/Chocolate,1
A744312,*Barkley,03/03/2017 11:48:00 AM,03/03/2017 11:48:00 AM,09/27/2016,Dog,Intact Male,5 months,Labrador Retriever Mix,Yellow,0
A839326,A839326,08/03/2021 03:07:00 PM,08/03/2021 03:07:00 PM,06/05/2021,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,0
A764675,Camilo,01/04/2018 04:44:00 PM,01/04/2018 04:44:00 PM,01/03/2016,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/Black,0
A693892,*Cherie,12/30/2014 11:53:00 AM,12/30/2014 11:53:00 AM,12/16/2010,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Cream,0
A751917,*Georgie,07/20/2018 11:36:00 AM,07/20/2018 11:36:00 AM,05/09/2017,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,0
A795178,,06/22/2019 03:10:00 PM,06/22/2019 03:10:00 PM,04/02/2019,Cat,Neutered Male,2 months,Domestic Shorthair,Blue/White,0
A757446,Chef,09/18/2017 12:00:00 AM,09/18/2017 12:00:00 AM,09/02/2010,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black,0
A688414,*Boone,09/26/2014 11:20:00 AM,09/26/2014 11:20:00 AM,09/20/2006,Dog,Neutered Male,8 years,Lhasa Apso,Buff,0
A587190,Ruby,11/22/2013 06:50:00 PM,11/22/2013 06:50:00 PM,10/19/2006,Dog,Spayed Female,7 years,Brittany Mix,White/Red,0
A809074,*Malcolm,12/30/2019 10:55:00 AM,12/30/2019 10:55:00 AM,01/28/2018,Cat,Neutered Male,1 year,Domestic Medium Hair,Black/White,0
A779353,,09/02/2018 05:46:00 PM,09/02/2018 05:46:00 PM,08/30/2016,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,0
A721039,*Sienna,03/04/2016 03:57:00 PM,03/04/2016 03:57:00 PM,02/20/2015,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor,0
A693841,*Bono,12/21/2014 05:14:00 PM,12/21/2014 05:14:00 PM,12/15/2011,Dog,Neutered Male,3 years,Australian Shepherd/Alaskan Malamute,Blue Merle/White,0
A794046,Milo,10/31/2020 11:26:00 AM,10/31/2020 11:26:00 AM,05/02/2019,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Black,0
A804077,,09/15/2019 04:46:00 PM,09/15/2019 04:46:00 PM,07/10/2019,Cat,Spayed Female,2 months,Domestic Shorthair,Blue,0
A673246,*Sally,02/28/2014 04:15:00 PM,02/28/2014 04:15:00 PM,04/20/2013,Dog,Spayed Female,10 months,Pug/Chihuahua Shorthair,Sable/Brown,0
A681500,,06/21/2014 05:53:00 PM,06/21/2014 05:53:00 PM,04/17/2014,Dog,Neutered Male,2 months,Australian Shepherd/Labrador Retriever,Liver/White,0
A717561,*Barley,12/19/2015 05:57:00 PM,12/19/2015 05:57:00 PM,12/10/2013,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White,0
A804985,,09/21/2019 01:22:00 PM,09/21/2019 01:22:00 PM,09/15/2019,Cat,Unknown,6 days,Domestic Shorthair,White/Orange Tabby,0
A818038,*Cheyenne,06/10/2020 06:57:00 PM,06/10/2020 06:57:00 PM,10/01/2019,Dog,Spayed Female,8 months,Plott Hound Mix,Brown Brindle/White,0
A725571,*Iris,07/12/2016 09:55:00 AM,07/12/2016 09:55:00 AM,03/29/2016,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby,0
A709380,Chopper,02/22/2016 01:15:00 PM,02/22/2016 01:15:00 PM,08/09/2008,Dog,Neutered Male,7 years,Pug,Fawn,0
A821369,,08/14/2020 04:32:00 PM,08/14/2020 04:32:00 PM,04/10/2020,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,0
A727525,Milo,01/10/2017 02:08:00 PM,01/10/2017 02:08:00 PM,05/22/2013,Dog,Neutered Male,3 years,Miniature Poodle,White,0
A702231,,05/11/2015 03:29:00 PM,05/11/2015 03:29:00 PM,04/26/2015,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,0
A688778,Scotty,09/24/2014 06:34:00 PM,09/24/2014 06:34:00 PM,09/23/2013,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,White/Tan,0
A720243,Bobe,05/17/2016 07:28:00 PM,05/17/2016 07:28:00 PM,02/05/2014,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0
A771076,*Josie,05/07/2018 04:41:00 PM,05/07/2018 04:41:00 PM,04/30/2017,Dog,Spayed Female,1 year,Labrador Retriever Mix,White,0
A790856,*Mia,03/24/2019 12:03:00 PM,03/24/2019 12:03:00 PM,03/17/2018,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,0
A712173,*Jackson,10/01/2015 11:50:00 AM,10/01/2015 11:50:00 AM,08/03/2015,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,0
A733374,,08/20/2016 05:21:00 PM,08/20/2016 05:21:00 PM,08/20/2015,Cat,Intact Female,1 year,Domestic Longhair Mix,Black,0
A688878,Jd,10/03/2014 06:45:00 PM,10/03/2014 06:45:00 PM,07/31/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A808332,Gracie,11/18/2019 03:00:00 PM,11/18/2019 03:00:00 PM,11/07/2012,Cat,Spayed Female,7 years,Domestic Longhair,White,0
A783122,*Kinsey,11/06/2018 03:07:00 PM,11/06/2018 03:07:00 PM,03/25/2018,Dog,Intact Female,7 months,Labrador Retriever Mix,Tan/White,0
A785983,,02/05/2019 09:52:00 AM,02/05/2019 09:52:00 AM,12/06/2018,Dog,Neutered Male,1 month,Labrador Retriever Mix,White/Black,0
A828065,Elliot,01/07/2021 12:23:00 PM,01/07/2021 12:23:00 PM,01/06/2019,Dog,Intact Male,2 years,Miniature Poodle/Maltese,Black,0
A780419,Snoop,09/18/2018 06:50:00 PM,09/18/2018 06:50:00 PM,01/14/2018,Dog,Neutered Male,8 months,Great Pyrenees Mix,White,0
A742667,,01/29/2017 05:27:00 PM,01/29/2017 05:27:00 PM,10/25/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby,0
A664822,Jackson,10/18/2013 11:23:00 AM,10/18/2013 11:23:00 AM,04/14/2006,Dog,Neutered Male,7 years,Cocker Spaniel/Miniature Poodle,White/Tan,0
A725613,Lola,05/06/2016 01:05:00 PM,05/06/2016 01:05:00 PM,03/01/2016,Dog,Spayed Female,2 months,Labrador Retriever Mix,Brown Brindle/White,0
A809351,Baby,01/04/2020 05:54:00 PM,01/04/2020 05:54:00 PM,11/23/2016,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan/White,0
A688941,,09/27/2014 09:00:00 AM,09/27/2014 09:00:00 AM,05/26/2014,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby,0
A837465,A837465,07/21/2021 12:58:00 PM,07/21/2021 12:58:00 PM,04/18/2021,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie,0
A617809,Tiger,10/07/2018 04:43:00 PM,10/07/2018 04:43:00 PM,01/08/2011,Dog,Neutered Male,7 years,Pit Bull Mix,Tan/White,0
A744019,*Merlin,03/04/2017 09:17:00 PM,03/04/2017 09:17:00 PM,02/21/2015,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue/White,0
A798078,Lori,06/24/2019 03:31:00 PM,06/24/2019 03:31:00 PM,08/21/2018,Dog,Spayed Female,10 months,Australian Shepherd,Blue Merle/White,0
A798864,Pumpkin,07/18/2019 06:05:00 PM,07/18/2019 06:05:00 PM,09/01/2018,Dog,Spayed Female,10 months,Chihuahua Longhair,Black/Tan,0
A671076,Bullet,10/14/2017 11:11:00 AM,10/14/2017 11:11:00 AM,07/18/2012,Dog,Neutered Male,5 years,Pit Bull Mix,Blue/White,0
A798102,*Keto,07/05/2019 05:28:00 PM,07/05/2019 05:28:00 PM,12/21/2018,Other,Neutered Male,6 months,American Sable,Brown,0
A699322,Lady,03/26/2015 06:53:00 PM,03/26/2015 06:53:00 PM,03/25/2012,Dog,Spayed Female,3 years,Belgian Malinois Mix,Sable,0
A791356,Daisi,05/02/2019 03:45:00 PM,05/02/2019 03:45:00 PM,03/24/2018,Dog,Spayed Female,1 year,American Bulldog Mix,White/Black,0
A744747,,03/07/2017 10:28:00 AM,03/07/2017 10:28:00 AM,03/06/2017,Other,Unknown,1 day,Opossum Mix,White/Gray,1
A686154,,08/23/2014 01:04:00 PM,08/23/2014 01:04:00 PM,08/17/2009,Dog,Neutered Male,5 years,Great Pyrenees,White,0
A699777,,04/02/2015 05:27:00 PM,04/02/2015 05:27:00 PM,02/02/2015,Dog,Intact Female,1 month,Australian Shepherd/Anatol Shepherd,Red Merle,0
A678863,*Buster,05/17/2014 05:37:00 PM,05/17/2014 05:37:00 PM,10/13/2013,Dog,Neutered Male,7 months,Chihuahua Shorthair/Dachshund,Tan/White,0
A670061,Koda,01/24/2014 01:41:00 PM,01/24/2014 01:41:00 PM,01/01/2012,Dog,Neutered Male,2 years,Chow Chow Mix,Red,0
A721970,,03/13/2016 05:59:00 PM,03/13/2016 05:59:00 PM,03/08/2014,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Chocolate/Tan,0
A816354,Cash,04/17/2020 10:52:00 AM,04/17/2020 10:52:00 AM,04/15/2015,Cat,Unknown,5 years,Domestic Shorthair,Orange,0
A764481,Jake,12/30/2017 06:40:00 PM,12/30/2017 06:40:00 PM,12/30/2002,Dog,Neutered Male,15 years,Labrador Retriever Mix,Tan,0
A821034,*Oberlin,10/09/2020 05:19:00 PM,10/09/2020 05:19:00 PM,08/03/2018,Dog,Neutered Male,2 years,German Shepherd Mix,Black/White,0
A694015,*Mona,12/26/2014 03:48:00 PM,12/26/2014 03:48:00 PM,06/18/2013,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,0
A800292,,07/25/2019 03:30:00 PM,07/25/2019 03:30:00 PM,03/19/2019,Cat,Intact Male,4 months,Domestic Shorthair,Brown Tabby,0
A708675,Sugar,08/11/2015 06:27:00 PM,08/11/2015 06:27:00 PM,02/28/2015,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Blue Tabby/White,0
A612857,Billy,12/08/2014 09:00:00 AM,12/08/2014 09:00:00 AM,12/26/2010,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby,0
A695566,,01/18/2015 09:46:00 AM,01/18/2015 09:46:00 AM,01/18/2014,Other,Unknown,1 year,Opossum,White/Gray,1
A685903,*Harrison,08/19/2014 01:29:00 PM,08/19/2014 01:29:00 PM,08/14/2009,Dog,Neutered Male,5 years,American Bulldog Mix,Brown Brindle/White,0
A711055,Daisy,05/24/2016 01:47:00 PM,05/24/2016 01:47:00 PM,06/16/2015,Dog,Spayed Female,11 months,Manchester Terrier/Dachshund,Tricolor,0
A740194,Deedee,01/31/2017 12:26:00 PM,01/31/2017 12:26:00 PM,12/12/2014,Cat,Spayed Female,2 years,Domestic Medium Hair,Black/White,0
A728210,Riley,06/02/2016 03:32:00 PM,06/02/2016 03:32:00 PM,09/01/2015,Dog,Intact Female,9 months,Beagle Mix,Tan/White,0
A712377,,09/23/2015 09:00:00 AM,09/23/2015 09:00:00 AM,09/22/2008,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Brown Tabby/White,0
A726570,Moejoe,08/07/2016 12:02:00 PM,08/07/2016 12:02:00 PM,04/05/2016,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,0
A820780,*Opal,08/11/2020 02:48:00 PM,08/11/2020 02:48:00 PM,06/13/2020,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black,0
A729194,,06/20/2016 12:55:00 PM,06/20/2016 12:55:00 PM,03/30/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,0
A724657,Brutus,05/27/2017 04:40:00 PM,05/27/2017 04:40:00 PM,04/20/2014,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,0
A822128,Rhino,08/31/2020 04:42:00 PM,08/31/2020 04:42:00 PM,08/27/2019,Dog,Intact Male,1 year,Golden Retriever Mix,Buff,0
A754052,,09/29/2017 08:44:00 AM,09/29/2017 08:44:00 AM,06/15/2017,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Torbie,0
A800797,,07/28/2019 01:01:00 PM,07/28/2019 01:01:00 PM,05/26/2019,Cat,Intact Female,2 months,Domestic Shorthair,Black,0
A693912,Shoshes,12/27/2014 05:12:00 PM,12/27/2014 05:12:00 PM,06/16/2013,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Tan,0
A742346,,01/20/2017 12:51:00 PM,01/20/2017 12:51:00 PM,12/20/2016,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black Tabby,0
A733814,Duke,08/31/2016 04:02:00 PM,08/31/2016 04:02:00 PM,08/27/2015,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue/White,0
A756478,Chelsie,11/10/2017 10:19:00 AM,11/10/2017 10:19:00 AM,08/20/2001,Cat,Spayed Female,16 years,Domestic Shorthair Mix,Brown Tabby,1
A764989,Momma,02/04/2018 11:42:00 AM,02/04/2018 11:42:00 AM,01/10/2011,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Calico/White,0
A670102,Aria,06/03/2014 01:46:00 PM,06/03/2014 01:46:00 PM,06/02/2013,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White,0
A692449,*Daisy,02/12/2015 08:58:00 AM,02/12/2015 08:58:00 AM,11/20/2012,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White,1
A734376,,09/11/2016 05:46:00 PM,09/11/2016 05:46:00 PM,07/05/2016,Dog,Spayed Female,2 months,Plott Hound Mix,Brown Brindle,0
A791688,,04/02/2019 04:47:00 PM,04/02/2019 04:47:00 PM,11/29/2018,Dog,Spayed Female,4 months,Pit Bull Mix,White/Black,0
A674723,,03/17/2014 04:29:00 PM,03/17/2014 04:29:00 PM,03/17/2012,Other,Unknown,2 years,Bat Mix,Brown,1
A699223,Shadow,03/24/2015 03:19:00 PM,03/24/2015 03:19:00 PM,03/24/2009,Dog,Spayed Female,6 years,Standard Poodle Mix,Black/White,0
A687774,Valentina,09/14/2014 12:56:00 PM,09/14/2014 12:56:00 PM,05/09/2014,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,0
A676896,Mico,04/17/2014 11:50:00 AM,04/17/2014 11:50:00 AM,04/16/2012,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown,0
A802070,*Aiyu,05/01/2020 08:31:00 AM,05/01/2020 08:31:00 AM,08/13/2018,Cat,Spayed Female,1 year,Domestic Shorthair,Orange Tabby/White,0
A713728,Whisper,10/12/2015 12:13:00 PM,10/12/2015 12:13:00 PM,10/11/2013,Dog,Intact Female,2 years,Chihuahua Longhair Mix,Red,0
A837027,A837027,06/25/2021 05:05:00 PM,06/25/2021 05:05:00 PM,04/16/2021,Dog,Spayed Female,2 months,German Shepherd,Tan,0
A760598,,10/24/2017 03:04:00 PM,10/24/2017 03:04:00 PM,10/20/2016,Cat,Intact Male,1 year,American Shorthair Mix,Black/Black,0
A699498,Teddy Bear,03/30/2015 01:58:00 PM,03/30/2015 01:58:00 PM,03/31/2011,Dog,Spayed Female,4 years,Cairn Terrier Mix,Brown,0
A833243,,04/30/2021 06:06:00 PM,04/30/2021 06:06:00 PM,04/26/2020,Dog,Spayed Female,1 year,Alaskan Husky Mix,Black/White,0
A717686,,12/25/2015 02:17:00 PM,12/25/2015 02:17:00 PM,09/12/2015,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White,0
A730498,Sissy,07/08/2016 04:05:00 PM,07/08/2016 04:05:00 PM,07/05/2015,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Brown,0
A782019,*Scout,03/16/2019 06:21:00 PM,03/16/2019 06:21:00 PM,04/09/2018,Dog,Spayed Female,11 months,Labrador Retriever Mix,White/Brown Brindle,0
A840410,,08/08/2021 03:29:00 PM,08/08/2021 03:29:00 PM,07/15/2021,Cat,Intact Male,3 weeks,Domestic Shorthair,Lynx Point,0
A666725,,11/11/2013 03:33:00 PM,11/11/2013 03:33:00 PM,08/22/2013,Dog,Neutered Male,2 months,Pointer/Anatol Shepherd,White/Brown,0
A691666,Wrigley,11/30/2014 01:40:00 PM,11/30/2014 01:40:00 PM,05/07/2013,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Sable/White,0
A768422,*Asuma,01/29/2019 12:05:00 PM,01/29/2019 12:05:00 PM,03/19/2017,Dog,Intact Female,1 year,Pit Bull Mix,Black/White,0
A666412,Isabelle,11/04/2013 02:05:00 PM,11/04/2013 02:05:00 PM,10/31/2007,Cat,Spayed Female,6 years,Domestic Medium Hair Mix,Black,0
A806099,*Yancy,10/09/2019 04:05:00 PM,10/09/2019 04:05:00 PM,08/05/2019,Dog,Neutered Male,2 months,Rat Terrier,Black/Tan,0
A661789,Tank,10/28/2013 05:54:00 PM,10/28/2013 05:54:00 PM,08/25/2011,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,1
A722060,Huey,03/15/2016 12:55:00 PM,03/15/2016 12:55:00 PM,03/10/2011,Dog,Intact Male,5 years,Great Pyrenees Mix,White,0
A835746,,06/26/2021 09:00:00 AM,06/26/2021 09:00:00 AM,06/01/2021,Other,Unknown,3 weeks,New Zealand Wht Mix,White/Black,1
A667919,*Jack,11/30/2013 03:56:00 PM,11/30/2013 03:56:00 PM,10/10/2013,Dog,Intact Male,1 month,Border Collie Mix,Black/White,0
A722522,,03/18/2016 10:29:00 AM,03/18/2016 10:29:00 AM,03/15/2016,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby,0
A795398,*Jasper,07/18/2019 09:06:00 AM,07/18/2019 09:06:00 AM,04/16/2019,Cat,Neutered Male,3 months,Domestic Longhair,Brown Tabby,0
